,Packers, 	24,16	,Panthers, 
,Colts, 	27,20	,Texans, 
,Cowboys, 	41,33	,Forty-Niners, 
,Dolphins, 	22,12	,Patriots, 
,Falcons, 	27,31	,Buccaneers, 
,Ravens, 	40,14	,Jaguars, 
,Redskins, 	15,20	,Seahawks, 
,Titans, 	46,25	,Lions, 
,Vikings, 	27,33	,Bears, 
,Cardinals, 	33,26	,Eagles, 
,Rams, 	20,23	,Jets, 
,Saints, 	29,32	,Chiefs, 
,Giants, 	6,20	,Browns, 
,Bengals, 	27,17	,Steelers, 
,Saints, 	52,33	,Vikings, 
,Lions, 	7,47	,Buccaneers, 
,Cardinals, 	12,20	,Forty-Niners, 
,Raiders, 	25,26	,Dolphins, 
,Chiefs, 	17,14	,Falcons, 
,Jaguars, 	17,41	,Bears, 
,Jets, 	23,16	,Browns, 
,Ravens, 	27,13	,Giants, 
,Steelers, 	28,24	,Colts, 
,Texans, 	31,37	,Bengals, 
,Chargers, 	19,16	,Broncos, 
,Redskins, 	13,20	,Panthers, 
,Cowboys, 	37,17	,Eagles, 
,Seahawks, 	20,9	,Rams, 
,Packers, 	40,14	,Titans, 
,Patriots, 	9,38	,Bills, 
,Bengals, 	3,38	,Ravens, 
,Bills, 	56,26	,Dolphins, 
,Browns, 	24,22	,Steelers, 
,Buccaneers, 	44,27	,Falcons, 
,Giants, 	23,19	,Cowboys, 
,Lions, 	35,37	,Vikings, 
,Patriots, 	28,14	,Jets, 
,Bears, 	16,35	,Packers, 
,Broncos, 	31,32	,Raiders, 
,Chiefs, 	21,38	,Chargers, 
,Colts, 	28,14	,Jaguars, 
,Forty-Niners, 	23,26	,Seahawks, 
,Panthers, 	7,33	,Saints, 
,Rams, 	18,7	,Cardinals, 
,Texans, 	38,41	,Titans, 
,Eagles, 	14,20	,Redskins, 
